あ ア ありがとう arigatou 谢谢
い イ いちご ichigo 草莓
う ウ うさぎ usagi 兔子
え エ えんぴつ enpitsu 铅笔
お オ お寿司 osushi 寿司
か カ かばん kaban 包包
き キ きつね kitsune 狐
く ク くるま kuruma 汽车
け ケ けん玉 kendama 足球玩具
こ コ こども kodomo 孩子
さ サ さくら sakura 樱花
し シ しんぶん shinbun 报纸
す ス すみれ sumire 堇菜
せ セ せんせい sensei 老师
そ ソ そら sora 天空
た タ たべる taberu 吃
ち チ ちょうし choushi 状态、情况
つ ツ つくえ tsukue 桌子
て テ てがみ tegami 信件
と ト ともだち tomodachi 朋友
な ナ なつ natsu 夏季
に ニ にんじん ninjin 胡萝卜
ぬ ヌ ぬま numa 沼泽
ね ネ ねこ neko 猫
の ノ のみもの nomimono 饮料
は ハ はな hana 花
ひ ヒ ひと hito 人
ふ フ ふじさん Fuji-san 富士山
へ ヘ へや heya 房间
ほ ホ ほん hon 书
ま マ まぐろ maguro 金枪鱼
み ミ みず mizu 水
む ム むし mushi 虫
め メ めがね megane 眼镜
も モ もも momo 桃子
や ヤ やま yama 山
ゆ ユ ゆき yuki 雪
よ ヨ よる yoru 夜
ら ラ らんぷ ranpu 灯笼
り リ りんご ringo 苹果
る ル るす rusu 绿豆
れ レ れんしゅう renshuu 练习
ろ ロ ろうそく rousoku 蜡烛
わ ワ わたし watashi 我
を ヲ をたべる taberu 吃
ん ン さん san 先生
